nr,archived_at,rank,manager,season_points,matchday_points,team_value,is_me,budget,final
1,2026-09-02T08:49:13+02:00,1,Maurice,1349,,135226399,,,
1,2026-09-02T08:49:13+02:00,2,Felix,1318,,163459017,,,
1,2026-09-02T08:49:13+02:00,3,Kai,1078,,229171714,ja,-2536639,
1,2026-09-02T08:49:13+02:00,4,Clainsman,1003,,128754901,,,
1,2026-09-02T08:49:13+02:00,5,Jonnhji,908,,201385276,,,
1,2026-09-02T08:49:13+02:00,6,MicheleFerra,852,,148737522,,,
1,2026-09-02T08:49:13+02:00,7,1. FC Infantino,799,,154135098,,,
1,2026-09-02T08:49:13+02:00,8,nico,775,,172379857,,,
1,2026-09-02T08:49:13+02:00,9,schwungzent,591,,162535717,,,
1,2026-09-02T08:49:13+02:00,10,Aaron,562,,184659401,,,
1,2026-09-02T08:49:13+02:00,11,Paul Block,499,,174301585,,,
2,2026-09-07T23:27:17+02:00,1,Felix,2703,1385,175097185,,,
2,2026-09-07T23:27:17+02:00,2,Maurice,2474,1125,137774425,,,
2,2026-09-07T23:27:17+02:00,3,MicheleFerra,1908,1056,152147769,,,
2,2026-09-07T23:27:17+02:00,4,Kai,1857,779,214898134,ja,-19213612,
2,2026-09-07T23:27:17+02:00,5,Clainsman,1832,829,135495081,,,
2,2026-09-07T23:27:17+02:00,6,Jonnhji,1831,923,203293946,,,
2,2026-09-07T23:27:17+02:00,7,1. FC Infantino,1817,1018,151258766,,,
2,2026-09-07T23:27:17+02:00,8,Paul Block,1715,1216,180394048,,,
2,2026-09-07T23:27:17+02:00,9,nico,1637,862,178342759,,,
2,2026-09-07T23:27:17+02:00,10,schwungzent,1596,1005,156794721,,,
2,2026-09-07T23:27:17+02:00,11,Aaron,1394,832,148822954,,,
3,2026-09-15T09:49:56+02:00,1,Maurice,3801,1327,152211270,,,ja
3,2026-09-15T09:49:56+02:00,2,Felix,3388,685,174793998,,,ja
3,2026-09-15T09:49:56+02:00,3,Kai,3020,1163,233947214,ja,-41860114,ja
3,2026-09-15T09:49:56+02:00,4,Clainsman,2907,1075,140759448,,,ja
3,2026-09-15T09:49:56+02:00,5,MicheleFerra,2816,908,157184543,,,ja
3,2026-09-15T09:49:56+02:00,6,Jonnhji,2724,893,240860700,,,ja
3,2026-09-15T09:49:56+02:00,7,Paul Block,2545,830,192249981,,,ja
3,2026-09-15T09:49:56+02:00,8,1. FC Infantino,2453,636,153255626,,,ja
3,2026-09-15T09:49:56+02:00,9,nico,2427,790,188904417,,,ja
3,2026-09-15T09:49:56+02:00,10,Aaron,2397,1003,159825594,,,ja
3,2026-09-15T09:49:56+02:00,11,schwungzent,2389,793,150966752,,,ja
4,2026-09-19T23:45:48+02:00,1,Maurice,4194,393,161007949,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,2,Felix,3941,553,181260223,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,3,nico,3932,1505,195113463,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,4,Kai,3898,878,234578023,ja,-5963150,vorlaeufig
4,2026-09-19T23:45:48+02:00,5,Paul Block,3484,939,224571351,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,6,Clainsman,3424,517,136870332,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,7,Jonnhji,3348,624,229774749,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,8,MicheleFerra,3205,389,152043980,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,9,1. FC Infantino,2814,361,143313588,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,10,Aaron,2791,394,137222540,,,vorlaeufig
4,2026-09-19T23:45:48+02:00,11,schwungzent,2651,262,146309492,,,vorlaeufig
