player_id,player,team,position,bid_amount,market_value_at_bid,bid_vs_mv_pct,competing_offers,expires_at,first_seen,last_seen_open,status,resolved_at,resolved_price,resolved_buyer,resolved_note
7156,Maximilian Wöber,Schalke,ABW,3100968,1999207,55.1,1,2026-09-15T11:59:42.577338+00:00,2026-09-14T14:06:37+00:00,2026-09-14T14:06:37+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
10122,Fabio Gruber,Mainz,ABW,13630098,13247757,2.9,1,2026-09-15T01:57:55.577338+00:00,2026-09-14T14:06:37+00:00,2026-09-14T14:06:37+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
11255,Nikola Katic,Schalke,ABW,12430089,11073626,12.2,1,2026-09-15T01:51:57.577338+00:00,2026-09-14T14:06:37+00:00,2026-09-14T14:06:37+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
7156,Maximilian Wöber,Schalke,ABW,3100968,1999207,55.1,1,2026-09-15T11:59:43.120460+00:00,2026-09-14T16:47:17+00:00,2026-09-14T16:47:17+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
10122,Fabio Gruber,Mainz,ABW,13630098,13247757,2.9,1,2026-09-15T01:57:56.120460+00:00,2026-09-14T16:47:17+00:00,2026-09-14T16:47:17+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
11255,Nikola Katic,Schalke,ABW,12430089,11073626,12.2,1,2026-09-15T01:51:58.120460+00:00,2026-09-14T16:47:17+00:00,2026-09-14T16:47:17+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
7156,Maximilian Wöber,Schalke,ABW,3100968,1999207,55.1,1,2026-09-15T11:59:42.016767+00:00,2026-09-14T19:23:53+00:00,2026-09-14T19:23:53+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
10122,Fabio Gruber,Mainz,ABW,13630098,13247757,2.9,1,2026-09-15T01:57:55.016767+00:00,2026-09-14T19:23:53+00:00,2026-09-14T19:23:53+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
11255,Nikola Katic,Schalke,ABW,12430089,11073626,12.2,1,2026-09-15T01:51:57.016767+00:00,2026-09-14T19:23:53+00:00,2026-09-14T19:23:53+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
7156,Maximilian Wöber,Schalke,ABW,3100968,2323322,33.5,1,2026-09-15T11:59:42.168929+00:00,2026-09-14T20:45:11+00:00,2026-09-14T20:45:11+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
10122,Fabio Gruber,Mainz,ABW,13830065,13472670,2.7,1,2026-09-15T01:57:55.168929+00:00,2026-09-14T20:45:11+00:00,2026-09-14T20:45:11+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
11255,Nikola Katic,Schalke,ABW,12430089,11317486,9.8,1,2026-09-15T01:51:57.168929+00:00,2026-09-14T20:45:11+00:00,2026-09-14T20:45:11+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
12321,Jahmai Simpson-Pusey,Köln,ABW,9890036,9715562,1.8,1,2026-09-14T23:11:13.168929+00:00,2026-09-14T20:45:11+00:00,2026-09-14T20:45:11+00:00,gewonnen,2026-09-14T23:11:37Z,9890036,ich,eigener Kauf in squad.json gefunden
7156,Maximilian Wöber,Schalke,ABW,3100968,2323322,33.5,1,2026-09-15T11:59:41.766677+00:00,2026-09-14T22:46:07+00:00,2026-09-14T22:46:07+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
10122,Fabio Gruber,Mainz,ABW,13830065,13472670,2.7,1,2026-09-15T01:57:54.766677+00:00,2026-09-14T22:46:07+00:00,2026-09-14T22:46:07+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
11255,Nikola Katic,Schalke,ABW,12430089,11317486,9.8,1,2026-09-15T01:51:56.766677+00:00,2026-09-14T22:46:07+00:00,2026-09-14T22:46:07+00:00,unklar,,,,"Gebot nicht mehr offen, noch kein passender Transfer gefunden"
12321,Jahmai Simpson-Pusey,Köln,ABW,9890036,9715562,1.8,1,2026-09-14T23:11:12.766677+00:00,2026-09-14T22:46:07+00:00,2026-09-14T22:46:07+00:00,gewonnen,2026-09-14T23:11:37Z,9890036,ich,eigener Kauf in squad.json gefunden
7156,Maximilian Wöber,Schalke,ABW,3100968,2323322,33.5,1,2026-09-15T11:59:41.489085+00:00,2026-09-14T23:25:45+00:00,2026-09-14T23:25:45+00:00,offen,,,,
10122,Fabio Gruber,Mainz,ABW,13830065,13472670,2.7,1,2026-09-15T01:57:54.489085+00:00,2026-09-14T23:25:45+00:00,2026-09-14T23:25:45+00:00,offen,,,,
11255,Nikola Katic,Schalke,ABW,12430089,11317486,9.8,1,2026-09-15T01:51:56.489085+00:00,2026-09-14T23:25:45+00:00,2026-09-14T23:25:45+00:00,offen,,,,
