event_id,at,kind,player,player_id,team,buyer,seller,price,market_value_at_transfer,overpay,overpay_pct,mv_source
12256375045,2026-08-13T06:21:49Z,verkauf,Ljubičić,3029,Schalke,,Aaron,8228110,,,,unbekannt
12256394275,2026-08-13T06:24:49Z,verkauf,Baur,7235,Paderborn,,Aaron,9449327,,,,unbekannt
12256395151,2026-08-13T06:25:11Z,verkauf,Sauer,7781,Stuttgart,,Aaron,7075183,,,,unbekannt
12256395340,2026-08-13T06:25:16Z,kauf,Klaus,3364,Union Berlin,Jonnhji,,1855999,,,,unbekannt
12256823485,2026-08-13T07:34:35Z,kauf,Leopold,3516,M'gladbach,MicheleFerra,,15784523,,,,unbekannt
12256864123,2026-08-13T07:41:14Z,verkauf,Banks,8355,Augsburg,,Jonnhji,6939464,,,,unbekannt
12257489851,2026-08-13T09:32:52Z,kauf,Medina,14241,Leverkusen,Jonnhji,,17719999,,,,unbekannt
12257618125,2026-08-13T09:56:07Z,kauf,Batista Meier,2301,Paderborn,Aaron,,6400001,,,,unbekannt
12257699134,2026-08-13T10:10:56Z,kauf,Lemke,13433,Hamburg,Paul Block,,1109999,,,,unbekannt
12260559919,2026-08-13T19:18:58Z,kauf,Petkov,2928,Elversberg,nico,,13500060,,,,unbekannt
12260734597,2026-08-13T19:49:51Z,kauf,Onyedika,16369,Frankfurt,MicheleFerra,,14531247,,,,unbekannt
12263576860,2026-08-14T04:11:30Z,verkauf,Lehmann,6149,Elversberg,,schwungzent,2447246,,,,unbekannt
12263577667,2026-08-14T04:11:49Z,verkauf,Aséko,7417,Frankfurt,,schwungzent,9955476,,,,unbekannt
12263582959,2026-08-14T04:12:31Z,verkauf,Damjanovic,14893,Leverkusen,,schwungzent,7916327,,,,unbekannt
12264361930,2026-08-14T06:03:46Z,kauf,Noll,2977,Paderborn,MicheleFerra,,14213573,,,,unbekannt
12265311679,2026-08-14T08:29:07Z,verkauf,Covic,9996,Bremen,,Kai,5399556,,,,unbekannt
12265311790,2026-08-14T08:29:11Z,verkauf,Malatini,7469,Bremen,,Kai,4667693,,,,unbekannt
12266517751,2026-08-14T11:49:02Z,kauf,Karaman,670,Schalke,Aaron,,16800001,,,,unbekannt
12266992804,2026-08-14T13:11:41Z,kauf,Okon-Engstler,14300,Köln,Felix,,3888889,,,,unbekannt
12268608352,2026-08-14T17:47:46Z,kauf,Grüll,7721,Bremen,nico,,5342000,,,,unbekannt
12268614976,2026-08-14T17:49:14Z,verkauf,Lidberg,9540,M'gladbach,,Kai,11202688,,,,unbekannt
12269302732,2026-08-14T19:43:44Z,kauf,Porath,1691,Schalke,Paul Block,,5756999,,,,unbekannt
12269433835,2026-08-14T20:05:57Z,verkauf,Zieler,417,Köln,,nico,2968117,,,,unbekannt
12269444701,2026-08-14T20:07:04Z,verkauf,Schallenberg,2876,Schalke,,nico,8162377,,,,unbekannt
12269445826,2026-08-14T20:07:14Z,verkauf,Sylla,8222,Schalke,,nico,8880125,,,,unbekannt
12270137323,2026-08-14T21:52:00Z,kauf,Diks,11010,M'gladbach,Felix,,16777999,,,,unbekannt
12270163891,2026-08-14T21:57:14Z,kauf,Pieper,2294,Bremen,Paul Block,Aaron,10000000,,,,unbekannt
12270262459,2026-08-14T22:05:13Z,kauf,Heuer Fernandes,1863,Hamburg,Aaron,Jonnhji,14800000,,,,unbekannt
12270297187,2026-08-14T22:08:05Z,verkauf,Wójcik,15256,Bremen,,Aaron,6821948,,,,unbekannt
12270310267,2026-08-14T22:09:17Z,verkauf,Kramarić,1815,Hoffenheim,,1. FC Infantino,21525162,,,,unbekannt
12270456973,2026-08-14T22:23:49Z,kauf,Daghim,11959,Hoffenheim,Felix,,8777999,,,,unbekannt
12270609319,2026-08-14T22:41:54Z,verkauf,Millgramm,12262,Paderborn,,Kai,6644793,,,,unbekannt
12271785799,2026-08-15T02:18:17Z,kauf,Marino,3336,Paderborn,nico,,9120000,,,,unbekannt
12272484301,2026-08-15T04:42:36Z,kauf,Poreba,7278,Elversberg,Kai,,9634002,,,,unbekannt
12273347083,2026-08-15T06:58:22Z,kauf,Zeitler,9283,Paderborn,Kai,,670069,,,,unbekannt
12274716751,2026-08-15T10:34:08Z,kauf,Nicolas,1883,M'gladbach,1. FC Infantino,,20046466,,,,unbekannt
12274984987,2026-08-15T11:19:45Z,kauf,Seiwald,6176,Leipzig,Kai,,18100650,,,,unbekannt
12275412673,2026-08-15T12:32:13Z,kauf,Posch,2006,Mainz,nico,,13120009,,,,unbekannt
12275453377,2026-08-15T12:39:51Z,verkauf,Tanaka,12297,Schalke,,Paul Block,7083257,,,,unbekannt
12275527948,2026-08-15T12:52:30Z,kauf,Führich,2172,Stuttgart,1. FC Infantino,,26568644,,,,unbekannt
12275585872,2026-08-15T13:03:06Z,kauf,Kemlein,4446,Union Berlin,Aaron,nico,8000000,,,,unbekannt
12277073431,2026-08-15T17:31:04Z,kauf,Undav,7158,Stuttgart,Aaron,,44200000,,,,unbekannt
12277204408,2026-08-15T17:36:36Z,verkauf,Bülter,2552,Köln,,Aaron,5844672,,,,unbekannt
12277210339,2026-08-15T17:37:40Z,verkauf,Ibrahimović,3176,Bayern,,Aaron,4521935,,,,unbekannt
12278545090,2026-08-15T20:45:25Z,verkauf,Heskey,15373,Köln,,nico,10143875,,,,unbekannt
12278774821,2026-08-15T21:11:29Z,verkauf,Honorat,6319,M'gladbach,,schwungzent,9895758,,,,unbekannt
12278817718,2026-08-15T21:18:43Z,kauf,Hajdari,7673,Hoffenheim,schwungzent,,20600000,,,,unbekannt
12279331435,2026-08-15T22:14:02Z,verkauf,Palacios,2766,Leverkusen,,Jonnhji,22167337,,,,unbekannt
12279393274,2026-08-15T22:20:22Z,kauf,Olise,8329,Bayern,nico,,66854600,,,,unbekannt
12279763180,2026-08-15T22:59:23Z,kauf,García,4199,Leverkusen,Kai,,42680003,,,,unbekannt
12279962113,2026-08-15T23:21:41Z,kauf,Gregoritsch,493,Augsburg,Clainsman,,10500000,,,,unbekannt
12281909641,2026-08-16T04:19:59Z,kauf,Matanović,3304,Freiburg,Maurice,,18200000,,,,unbekannt
12286813738,2026-08-16T14:58:33Z,kauf,Raum,2522,Leipzig,Kai,,33850002,,,,unbekannt
12287646724,2026-08-16T16:49:54Z,kauf,Schick,2746,Leverkusen,Paul Block,,29689999,,,,unbekannt
12287858590,2026-08-16T17:21:58Z,verkauf,Osterhage,2722,Freiburg,,Jonnhji,5529854,,,,unbekannt
12287858647,2026-08-16T17:22:01Z,verkauf,Schubert,2471,Paderborn,,Jonnhji,5374763,,,,unbekannt
12287945290,2026-08-16T17:32:20Z,verkauf,Funk,2445,Stuttgart,,Jonnhji,4430263,,,,unbekannt
12287945893,2026-08-16T17:32:32Z,verkauf,Gyamerah,859,Elversberg,,Jonnhji,6035187,,,,unbekannt
12287946367,2026-08-16T17:32:51Z,verkauf,Musah,11262,Bremen,,Jonnhji,6229870,,,,unbekannt
12288033481,2026-08-16T17:42:33Z,verkauf,Baku,2141,Leipzig,,Paul Block,19145475,,,,unbekannt
12288381478,2026-08-16T18:31:50Z,kauf,Kimmich,1685,Bayern,Jonnhji,,61540000,,,,unbekannt
12288526684,2026-08-16T18:48:45Z,kauf,Backhaus,3218,Freiburg,Paul Block,,18259999,,,,unbekannt
12289093318,2026-08-16T20:03:31Z,kauf,Stange,7350,Hamburg,1. FC Infantino,,3000803,,,,unbekannt
12289136623,2026-08-16T20:07:48Z,verkauf,Moerstedt,7543,Hoffenheim,,Felix,6724423,,,,unbekannt
12289145254,2026-08-16T20:08:22Z,verkauf,Hollerbach,6111,Mainz,,nico,5256064,,,,unbekannt
12289891096,2026-08-16T21:37:27Z,verkauf,Irié,11007,Freiburg,,MicheleFerra,4536918,,,,unbekannt
12290092612,2026-08-16T22:01:00Z,verkauf,Porath,1691,Schalke,,Paul Block,5584116,,,,unbekannt
12290711800,2026-08-16T23:07:57Z,verkauf,Sebulonsen,11570,Köln,,Maurice,4281647,,,,unbekannt
12290728960,2026-08-16T23:10:14Z,verkauf,Soylu,14926,Bremen,,Maurice,3695800,,,,unbekannt
12292856464,2026-08-17T04:20:36Z,verkauf,Marino,3336,Paderborn,,nico,9366993,,,,unbekannt
12293170375,2026-08-17T04:53:18Z,kauf,Ullrich,4333,M'gladbach,nico,,7100000,,,,unbekannt
12294469600,2026-08-17T07:19:24Z,verkauf,Boss,2495,Elversberg,,Kai,5610571,,,,unbekannt
12294864520,2026-08-17T08:05:40Z,verkauf,Batista Meier,2301,Paderborn,,Aaron,5192952,,,,unbekannt
12295505512,2026-08-17T09:29:33Z,kauf,Khedira,51,Union Berlin,schwungzent,,6650000,,,,unbekannt
12296974231,2026-08-17T12:43:29Z,kauf,Kömür,4654,Augsburg,nico,,3721000,,,,unbekannt
12297618715,2026-08-17T14:13:28Z,kauf,Pejčinović,4296,Stuttgart,nico,,9654500,,,,unbekannt
12300940639,2026-08-17T20:14:15Z,kauf,Binder,15502,Bayern,Felix,,2222229,,,,unbekannt
12301231354,2026-08-17T20:44:35Z,verkauf,Castañeda,8292,Paderborn,,nico,10198046,,,,unbekannt
12303100765,2026-08-18T00:30:02Z,kauf,Lienhart,2084,Freiburg,1. FC Infantino,,12695558,,,,unbekannt
12303991942,2026-08-18T02:45:22Z,verkauf,Estève,15376,Leipzig,,1. FC Infantino,17266919,,,,unbekannt
12305417767,2026-08-18T05:30:17Z,verkauf,Ansah,6750,Union Berlin,,Aaron,10182048,,,,unbekannt
12306594196,2026-08-18T07:42:00Z,verkauf,Da Costa,1540,Mainz,,Paul Block,9297581,,,,unbekannt
12307865980,2026-08-18T10:20:46Z,kauf,El Khannouss,11955,Stuttgart,Aaron,,24000001,,,,unbekannt
12309432697,2026-08-18T13:50:11Z,kauf,Vázquez,3754,Leverkusen,Jonnhji,,2769950,,,,unbekannt
12311604415,2026-08-18T18:44:43Z,kauf,Ulrich,3559,Paderborn,Paul Block,,5109999,,,,unbekannt
12312614368,2026-08-18T20:44:25Z,verkauf,Muheim,3277,Hamburg,,Kai,9586179,,,,unbekannt
12312845176,2026-08-18T21:12:05Z,kauf,Maina,2201,Köln,MicheleFerra,,5121423,,,,unbekannt
12313965106,2026-08-18T23:18:19Z,kauf,Kane,7226,Bayern,Paul Block,,69696969,,,,unbekannt
12314941942,2026-08-19T01:39:55Z,kauf,Lemperle,2803,Hoffenheim,nico,,12500009,10185425,2314584,22.7,mv_history_exakt
12315718762,2026-08-19T03:31:34Z,kauf,Dinkçi,2939,Bremen,1. FC Infantino,,5099899,,,,unbekannt
12317602924,2026-08-19T06:53:50Z,verkauf,Rohr,3284,Elversberg,,Aaron,10554725,10212071,342654,3.4,mv_history_exakt
12318637684,2026-08-19T08:58:08Z,verkauf,Batshuayi,2190,Dortmund,,nico,4231958,,,,unbekannt
12319275247,2026-08-19T10:18:51Z,kauf,Schäfer,3187,Union Berlin,Kai,,3200400,,,,unbekannt
12320106244,2026-08-19T12:05:23Z,verkauf,Andrés,9746,Stuttgart,,MicheleFerra,8930218,,,,unbekannt
12321483880,2026-08-19T15:08:33Z,kauf,Topp,3166,Bremen,Kai,,500050,,,,unbekannt
12322884043,2026-08-19T18:17:43Z,kauf,Reis,3281,Bremen,Paul Block,,4956999,,,,unbekannt
12323113498,2026-08-19T18:46:47Z,kauf,Stage,3481,Bremen,MicheleFerra,,20572863,19337953,1234910,6.4,mv_history_exakt
12323956867,2026-08-19T20:27:25Z,verkauf,Petkov,2928,Elversberg,,nico,11918461,11918461,0,0.0,mv_history_exakt
